FeedCreatedDateTime	ItemPriceLastModifiedDateTime	Currency	ModelCode	ItemCode	ItemName	NonStandardDiscount	Outlet	AllPrintCodes	MOQBlankOrder	Qty1	Qty2	Qty3	Qty4	Qty5	Qty6	ItemPriceNet_Qty1	ItemPriceNet_Qty2	ItemPriceNet_Qty3	ItemPriceNet_Qty4	ItemPriceNet_Qty5	ItemPriceNet_Qty6	ItemPriceGross_Qty1	ItemPriceGross_Qty2	ItemPriceGross_Qty3	ItemPriceGross_Qty4	ItemPriceGross_Qty5	ItemPriceGross_Qty6	AdditionalCostDesc	AdditionalCost
2023-09-18T11:27:09	2022-10-24T15:20:56	EUR	V10200	102001	VINGA Cott RCS RPET waterfles, grijs			Digital round 360-2,Pad Print Drinkware,SilkScreen Round,Doming	1	1	100	250	500	1000	1500	3.21	3.13	3.04	2.96	2.90	2.84	5.64	5.49	5.34	5.19	5.09	4.99		
2023-09-18T11:27:09	2023-02-09T08:18:38	EUR	V10200	102002	VINGA Cott RCS RPET waterfles, transparant			Digital round 360-2,Pad Print Drinkware,SilkScreen Round,Doming	1	1	100	250	500	1000	1500	3.21	3.13	3.04	2.96	2.90	2.84	5.64	5.49	5.34	5.19	5.09	4.99		
2023-09-18T11:27:09	2022-10-24T15:20:56	EUR	V10200	102004	VINGA Cott RCS RPET waterfles, groen			Digital round 360-2,Pad Print Drinkware,SilkScreen Round,Doming	1	1	100	250	500	1000	1500	3.21	3.13	3.04	2.96	2.90	2.84	5.64	5.49	5.34	5.19	5.09	4.99		
2023-09-18T11:27:09	2022-10-24T15:20:56	EUR	V10200	102005	VINGA Cott RCS RPET waterfles, oranje			Digital round 360-2,Pad Print Drinkware,SilkScreen Round,Doming	1	1	100	250	500	1000	1500	3.21	3.13	3.04	2.96	2.90	2.84	5.64	5.49	5.34	5.19	5.09	4.99		
2023-09-18T11:27:09	2022-10-24T15:20:57	EUR	V10200	102006	VINGA Cott RCS RPET waterfles, blauw			Digital round 360-2,Pad Print Drinkware,SilkScreen Round,Doming	1	1	100	250	500	1000	1500	3.21	3.13	3.04	2.96	2.90	2.84	5.64	5.49	5.34	5.19	5.09	4.99		
2023-09-18T11:27:09	2023-04-12T11:39:30	EUR	V1021	102015	VINGA Verso deken, bruin			Embroidery	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:14:30	EUR	V1021	102016	VINGA Verso deken, grijs			Embroidery	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:14:31	EUR	V1021	102017	VINGA Verso deken, gebroken wit			Embroidery	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2023-04-12T11:38:07	EUR	V1021	102018	VINGA Verso deken, groen			Embroidery	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2023-04-12T11:36:51	EUR	V1021	102019	VINGA Verso deken, blauw			Embroidery	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:17:58	EUR	V10220	10220	VINGA Retro serveerbestek, bruin			Pad Print	1	1	100	250	500	1000	1500	10.63	10.35	10.06	9.78	9.60	9.41	18.65	18.15	17.65	17.15	16.85	16.50		
2023-09-18T11:27:09	2022-10-24T15:18:17	EUR	V10223	10223	VINGA Retro kaasset, bruin			Laser Engraving 2	1	1	100	250	500	1000	1500	8.61	8.38	8.15	7.92	7.75	7.61	15.10	14.70	14.30	13.90	13.60	13.35		
2023-09-18T11:27:09	2023-02-08T15:49:55	EUR	V10320	103201	VINGA Clare keukenhanddoek linnenmix, blauw			Embroidery	1	1	100	250	500	1000	1500	4.74	4.61	4.48	4.35	4.28	4.19	8.31	8.09	7.86	7.64	7.50	7.35		
2023-09-18T11:27:09	2023-02-08T15:49:55	EUR	V10320	103202	VINGA Clare keukenhanddoek linnenmix, groen			Embroidery	1	1	100	250	500	1000	1500	4.74	4.61	4.48	4.35	4.28	4.19	8.31	8.09	7.86	7.64	7.50	7.35		
2023-09-18T11:27:09	2023-02-08T15:49:55	EUR	V10320	103203	VINGA Clare keukenhanddoek linnenmix, grijs			Embroidery	1	1	100	250	500	1000	1500	4.74	4.61	4.48	4.35	4.28	4.19	8.31	8.09	7.86	7.64	7.50	7.35		
2023-09-18T11:27:09	2023-02-08T15:49:54	EUR	V10321	103210	VINGA Lima keukenhanddoek linnenmix, zwart			Embroidery	1	1	100	250	500	1000	1500	5.12	4.99	4.85	4.71	4.62	4.53	8.98	8.75	8.51	8.27	8.11	7.95		
2023-09-18T11:27:09	2023-02-08T15:49:54	EUR	V10323	103230	VINGA Cromer vaatdoek wafelpatroon, 2 stuks, grijs			Embroidery	1	1	100	250	500	1000	1500	4.92	4.80	4.67	4.54	4.45	4.36	8.64	8.42	8.19	7.96	7.80	7.65		
2023-09-18T11:27:09	2023-02-08T15:49:54	EUR	V10323	103231	VINGA Cromer vaatdoek wafelpatroon, 2 stuks, zwart			Embroidery	1	1	100	250	500	1000	1500	4.92	4.80	4.67	4.54	4.45	4.36	8.64	8.42	8.19	7.96	7.80	7.65		
2023-09-18T11:27:09	2023-02-08T15:49:54	EUR	V10323	103232	VINGA Cromer vaatdoek wafelpatroon, 2 stuks, groen			Embroidery	1	1	100	250	500	1000	1500	4.92	4.80	4.67	4.54	4.45	4.36	8.64	8.42	8.19	7.96	7.80	7.65		
2023-09-18T11:27:09	2022-10-24T15:15:27	EUR	V1601	1601	VINGA Kaiser fileerset, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	19.10	18.58	18.10	17.58	17.24	16.90	33.50	32.60	31.75	30.85	30.25	29.65		
2023-09-18T11:27:09	2022-10-24T15:16:11	EUR	V1650	1650	VINGA Kaiser koksmes, zilver			Laser Engraving 2	1	1	25	50	100	250	500	16.42	15.99	15.56	15.11	14.82	14.54	28.80	28.05	27.30	26.50	26.00	25.50		
2023-09-18T11:27:09	2022-10-24T15:16:30	EUR	V1651	1651	VINGA Kaiser broodmes, zilver			Laser Engraving 2	1	1	25	50	100	250	500	16.42	15.99	15.56	15.11	14.82	14.54	28.80	28.05	27.30	26.50	26.00	25.50		
2023-09-18T11:27:09	2022-10-24T15:12:28	EUR	V16510	16510	VINGA Hattasan Damascus koksmes, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2022-10-24T15:17:49	EUR	V1653	1653	VINGA Kaiser Santokumes, zilver			Laser Engraving 2	1	1	100	250	500	1000	1500	12.83	12.48	12.14	11.80	11.57	11.34	22.50	21.90	21.30	20.70	20.30	19.90		
2023-09-18T11:27:09	2022-10-24T15:17:11	EUR	V1654	1654	VINGA Hattasan koksmes, zilver			Laser Engraving 2	1	1	25	50	100	250	500	17.36	16.90	16.44	15.99	15.68	15.36	30.45	29.65	28.85	28.05	27.50	26.95		
2023-09-18T11:27:09	2022-10-24T15:14:20	EUR	V1655	1655	VINGA Kaiser messenset, zilver			Laser Engraving 2	1	1	25	50	100	250	500	24.17	23.51	22.89	22.23	21.80	21.38	42.40	41.25	40.15	39.00	38.25	37.50		
2023-09-18T11:27:09	2022-10-24T15:12:28	EUR	V16550	16550	VINGA Hattasan Damascus Santoku mes, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2022-10-24T15:17:17	EUR	V1656	1656	VINGA Hattasan broodmes, zilver			Laser Engraving 2	1	1	25	50	100	250	500	14.79	14.39	13.99	13.59	13.34	13.08	25.95	25.25	24.55	23.85	23.40	22.95		
2023-09-18T11:27:09	2022-10-24T15:18:22	EUR	V1657	1657	VINGA Hattasan santokumes, zilver			Laser Engraving 2	1	1	100	250	500	1000	1500	11.57	11.26	10.94	10.63	10.43	10.23	20.30	19.75	19.20	18.65	18.30	17.95		
2023-09-18T11:27:09	2022-10-24T15:16:13	EUR	V1658	1658	VINGA Hattasan fileerset, zilver			Laser Engraving 2	1	1	25	50	100	250	500	16.10	15.68	15.25	14.82	14.54	14.25	28.25	27.50	26.75	26.00	25.50	25.00		
2023-09-18T11:27:09	2023-08-31T06:51:44	EUR	V19145	19145004	VINGA Montgomery premium katoenen beddengoed, 4-delige set				1	1	25	50	100	250	500	30.61	29.78	28.98	28.16	27.62	27.08	53.70	52.25	50.85	49.40	48.45	47.50		
2023-09-18T11:27:09	2023-08-31T06:51:45	EUR	V19145	19145504	VINGA Montgomery premium katoenen beddengoed, 4-delige set, beige				1	1	25	50	100	250	500	30.61	29.78	28.98	28.16	27.62	27.08	53.70	52.25	50.85	49.40	48.45	47.50		
2023-09-18T11:27:09	2023-08-31T06:51:43	EUR	V19145	19145904	VINGA Montgomery premium katoenen beddengoed, 4-delige set, grijs				1	1	25	50	100	250	500	30.61	29.78	28.98	28.16	27.62	27.08	53.70	52.25	50.85	49.40	48.45	47.50		
2023-09-18T11:27:09	2022-10-24T15:14:31	EUR	V19454	194546	VINGA Lenox plaid, bruin			Embroidery,Leather badge,Printed badge	1	1	25	50	100	250	500	16.70	16.27	15.82	15.39	15.08	14.79	29.30	28.55	27.75	27.00	26.45	25.95		
2023-09-18T11:27:09	2022-10-24T15:14:31	EUR	V19454	194548	VINGA Lenox plaid, groen			Embroidery,Leather badge,Printed badge	1	1	25	50	100	250	500	16.70	16.27	15.82	15.39	15.08	14.79	29.30	28.55	27.75	27.00	26.45	25.95		
2023-09-18T11:27:09	2022-10-24T15:14:31	EUR	V19454	194549	VINGA Lenox plaid, zwart			Embroidery,Leather badge,Printed badge	1	1	25	50	100	250	500	16.70	16.27	15.82	15.39	15.08	14.79	29.30	28.55	27.75	27.00	26.45	25.95		
2023-09-18T11:27:09	2022-10-24T15:17:58	EUR	V1946	194620	VINGA Bilton gerecyclede deken/poncho, grijs			Embroidery	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:17:26	EUR	V1946	194621	VINGA Bilton gerecyclede deken/poncho, groen			Embroidery	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:17:26	EUR	V1946	194622	VINGA Bilton gerecyclede deken/poncho, Beige			Embroidery	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2023-08-31T06:51:41	EUR	V21200	21200	VINGA Baron koperen hapjespan			Laser Engraving 2	1	1	25	50	100	250	500	61.19	59.57	57.94	56.32	55.23	54.15	107.35	104.50	101.65	98.80	96.90	95.00		
2023-09-18T11:27:09	2023-08-31T06:51:41	EUR	V21202	21202	VINGA Baron koperen pan, bruin			Laser Engraving 2	1	1	25	50	100	250	500	63.75	62.07	60.39	58.68	57.57	56.43	111.85	108.90	105.95	102.95	101.00	99.00		
2023-09-18T11:27:09	2023-08-31T06:51:43	EUR	V21204	21204	VINGA Baron koperen kookpan, bruin			Laser Engraving 2	1	1	25	50	100	250	500	41.87	40.76	39.64	38.53	37.79	37.05	73.45	71.50	69.55	67.60	66.30	65.00		
2023-09-18T11:27:09	2023-02-08T15:49:57	EUR	V214	21460	VINGA Sovano keukenhanddoek, grijs			Embroidery,Digital Transfer OS,Screen Transfer OS	1	1	100	250	500	1000	1500	2.54	2.48	2.41	2.34	2.30	2.25	4.46	4.35	4.23	4.11	4.03	3.95		
2023-09-18T11:27:09	2023-02-08T15:49:53	EUR	V215S	21500	VINGA Sovano schort, zwart			Screen Transfer OS,Digital Transfer OS,Embroidery	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:17:03	EUR	V215	2155	VINGA Asado keukenschort, zwart			Digital Transfer OS,Screen Transfer OS,Embroidery	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2022-10-24T15:17:03	EUR	V215	2156	VINGA Asado keukenschort, groen			Digital Transfer OS,Screen Transfer OS,Embroidery	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2023-02-08T15:49:53	EUR	V215S	21560	VINGA Sovano schort, grijs			Screen Transfer OS,Digital Transfer OS,Embroidery	1	1	100	250	500	1000	1500	9.63	9.38	9.12	8.86	8.69	8.52	16.90	16.45	16.00	15.55	15.25	14.95		
2023-09-18T11:27:09	2022-10-24T15:16:18	EUR	V216	2157	VINGA Tome GRS schort, zwart			Digital Transfer OS,Embroidery	1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2022-10-24T15:16:18	EUR	V216	2158	VINGA Tome GRS schort, donkerblauw			Digital Transfer OS,Embroidery	1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2022-10-24T15:17:02	EUR	V215	2159	VINGA Asado keukenschort, bruin			Digital Transfer OS,Screen Transfer OS,Embroidery	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2022-10-24T15:16:18	EUR	V216	2162	VINGA Tome GRS schort, groen			Digital Transfer OS,Embroidery	1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2023-09-08T11:01:23	EUR	V2166	21660	VINGA Monte geëmailleerde grillpan, zwart				1	1	25	50	100	250	500	30.15	29.36	28.56	27.73	27.22	26.68	52.90	51.50	50.10	48.65	47.75	46.80		
2023-09-18T11:27:09	2023-09-08T11:01:24	EUR	V2166	21662	VINGA Monte geëmailleerde grillpan, burgundy				1	1	25	50	100	250	500	30.15	29.36	28.56	27.73	27.22	26.68	52.90	51.50	50.10	48.65	47.75	46.80		
2023-09-18T11:27:09	2023-09-08T11:01:24	EUR	V2166	21666	VINGA Monte geëmailleerde grillpan, groen				1	1	25	50	100	250	500	30.15	29.36	28.56	27.73	27.22	26.68	52.90	51.50	50.10	48.65	47.75	46.80		
2023-09-18T11:27:09	2023-06-12T08:48:53	EUR	V2177	21770	VINGA Monte geëmailleerde gietijzeren sauteerpan, zwart				1	1	25	50	100	250	500	32.18	31.32	30.47	29.61	29.04	28.47	56.45	54.95	53.45	51.95	50.95	49.95		
2023-09-18T11:27:09	2023-09-08T11:01:18	EUR	V2177	21772	VINGA Monte geëmailleerde gietijzeren sauteerpan, burgundy				1	1	25	50	100	250	500	32.18	31.32	30.47	29.61	29.04	28.47	56.45	54.95	53.45	51.95	50.95	49.95		
2023-09-18T11:27:09	2023-09-08T11:01:18	EUR	V2177	21776	VINGA Monte geëmailleerde gietijzeren sauteerpan, groen				1	1	25	50	100	250	500	32.18	31.32	30.47	29.61	29.04	28.47	56.45	54.95	53.45	51.95	50.95	49.95		
2023-09-18T11:27:09	2023-06-12T08:48:54	EUR	V2177	21778	VINGA Monte geëmailleerde gietijzeren sauteerpan, grijs			Laser Engraving 2	1	1	25	50	100	250	500	32.18	31.32	30.47	29.61	29.04	28.47	56.45	54.95	53.45	51.95	50.95	49.95		
2023-09-18T11:27:09	2022-10-24T15:17:08	EUR	V217	2178	VINGA Casbas schort, zwart			Screen Transfer OS,Digital Transfer OS,Embroidery	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2022-10-24T15:17:08	EUR	V217	2179	VINGA Casbas schort, bruin			Screen Transfer OS,Digital Transfer OS,Embroidery	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2023-06-12T08:48:50	EUR	V2188	21880	VINGA Monte geëmailleerde gietijzeren pan 5,5L, zwart				1	1	25	50	100	250	500	45.06	43.86	42.66	41.47	40.67	39.87	79.05	76.95	74.85	72.75	71.35	69.95		
2023-09-18T11:27:09	2023-09-08T11:01:15	EUR	V2188	21882	VINGA Monte geëmailleerde gietijzeren pan 5,5L, burgundy				1	1	25	50	100	250	500	45.06	43.86	42.66	41.47	40.67	39.87	79.05	76.95	74.85	72.75	71.35	69.95		
2023-09-18T11:27:09	2023-09-08T11:01:15	EUR	V2188	21886	VINGA Monte geëmailleerde gietijzeren pan 5,5L, groen				1	1	25	50	100	250	500	45.06	43.86	42.66	41.47	40.67	39.87	79.05	76.95	74.85	72.75	71.35	69.95		
2023-09-18T11:27:09	2023-06-12T08:48:51	EUR	V2188	21888	VINGA Monte geëmailleerde gietijzeren pan 5,5L, grijs			Laser Engraving 2	1	1	25	50	100	250	500	45.06	43.86	42.66	41.47	40.67	39.87	79.05	76.95	74.85	72.75	71.35	69.95		
2023-09-18T11:27:09	2023-06-12T08:48:52	EUR	V2135	21898	VINGA Monte geëmailleerde gietijzeren pan 3,5L, grijs			Laser Engraving 2	1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2022-10-24T15:20:05	EUR	V219	2190	VINGA Asado Eerste Hulp kit, zwart			Screen Transfer OS,Digital Transfer OS	1	1	100	250	500	1000	1500	6.75	6.58	6.41	6.21	6.10	5.99	11.85	11.55	11.25	10.90	10.70	10.50		
2023-09-18T11:27:09	2023-09-08T11:01:22	EUR	V2199	21980	VINGA Monte geëmailleerde gietijzeren pan 1,9L, zwart				1	1	25	50	100	250	500	33.37	32.49	31.61	30.69	30.12	29.53	58.55	57.00	55.45	53.85	52.85	51.80		
2023-09-18T11:27:09	2023-09-08T11:01:22	EUR	V2199	21982	VINGA Monte geëmailleerde gietijzeren pan 1,9L, burgundy				1	1	25	50	100	250	500	33.37	32.49	31.61	30.69	30.12	29.53	58.55	57.00	55.45	53.85	52.85	51.80		
2023-09-18T11:27:09	2023-09-08T11:01:22	EUR	V2199	21986	VINGA Monte geëmailleerde gietijzeren pan 1,9L, groen				1	1	25	50	100	250	500	33.37	32.49	31.61	30.69	30.12	29.53	58.55	57.00	55.45	53.85	52.85	51.80		
2023-09-18T11:27:09	2023-06-12T08:48:53	EUR	V2135	21990	VINGA Monte geëmailleerde gietijzeren pan 3,5L, zwart				1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2023-09-08T11:01:17	EUR	V2135	21992	VINGA Monte geëmailleerde gietijzeren pan 3,5L, burgundy				1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2023-06-12T08:48:53	EUR	V2135	21997	VINGA Monte geëmailleerde gietijzeren pan 3,5L, groen				1	1	25	50	100	250	500	38.62	37.59	36.57	35.54	34.86	34.17	67.75	65.95	64.15	62.35	61.15	59.95		
2023-09-18T11:27:09	2023-02-08T15:49:56	EUR	V230	2307	VINGA Canvas draagtas, grijs			Embroidery	1	1	100	250	500	1000	1500	3.38	3.29	3.20	3.11	3.06	2.99	5.93	5.78	5.62	5.46	5.36	5.25		
2023-09-18T11:27:09	2023-02-08T15:49:56	EUR	V230	2316	VINGA Canvas draagtas, groen			Embroidery	1	1	100	250	500	1000	1500	3.38	3.29	3.20	3.11	3.06	2.99	5.93	5.78	5.62	5.46	5.36	5.25		
2023-09-18T11:27:09	2022-10-24T15:17:26	EUR	V30710	30710	VINGA Gigaro kaasmessenset, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	10.92	10.63	10.35	10.06	9.86	9.66	19.15	18.65	18.15	17.65	17.30	16.95		
2023-09-18T11:27:09	2022-10-24T15:16:46	EUR	V30711	30711	VINGA Gigaro serveerbestek, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	11.57	11.26	10.94	10.63	10.43	10.23	20.30	19.75	19.20	18.65	18.30	17.95		
2023-09-18T11:27:09	2022-10-24T15:16:23	EUR	V30712	30712	VINGA Gigaro steakmessenset, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2022-10-24T15:15:53	EUR	V30714	30714	VINGA Gigaro trancheerset, zilver			Pad Print,Laser Engraving 2	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:14:19	EUR	V30770	30770	VINGA Gigaro champagne sabel, zilver			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2022-10-24T15:16:34	EUR	V31801	31801	VINGA Buscot horizontale serveerplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	12.20	11.88	11.57	11.23	11.03	10.80	21.40	20.85	20.30	19.70	19.35	18.95		
2023-09-18T11:27:09	2022-10-24T15:14:15	EUR	V3181	3181	VINGA Buscot ronde snijplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	20.58	20.04	19.49	18.95	18.58	18.21	36.10	35.15	34.20	33.25	32.60	31.95		
2023-09-18T11:27:09	2022-10-24T15:15:51	EUR	V3182	3182	VINGA Buscot multifunctionele snijplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	17.36	16.90	16.44	15.99	15.68	15.36	30.45	29.65	28.85	28.05	27.50	26.95		
2023-09-18T11:27:09	2022-10-24T15:16:09	EUR	V3183	3183	VINGA Buscot rechthoekige snijplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	14.79	14.39	13.99	13.59	13.34	13.08	25.95	25.25	24.55	23.85	23.40	22.95		
2023-09-18T11:27:09	2022-10-24T15:15:55	EUR	V3184	3184	VINGA Buscot lange serveerplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	16.07	15.65	15.22	14.79	14.51	14.22	28.20	27.45	26.70	25.95	25.45	24.95		
2023-09-18T11:27:09	2022-10-24T15:15:59	EUR	V31920	31920	VINGA Alcamo serveer snijplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	14.51	14.11	13.74	13.34	13.08	12.83	25.45	24.75	24.10	23.40	22.95	22.50		
2023-09-18T11:27:09	2022-10-24T15:15:50	EUR	V31925	31925	VINGA Alcamo ronde serveer snijplank, bruin			CO2 Engraving 3	1	1	25	50	100	250	500	16.07	15.65	15.22	14.79	14.51	14.22	28.20	27.45	26.70	25.95	25.45	24.95		
2023-09-18T11:27:09	2022-10-24T15:14:21	EUR	V3373	3373	VINGA Kaiser slijpstaalset, bruin			Laser Engraving 2,Pad Print	1	1	25	50	100	250	500	23.80	23.17	22.54	21.92	21.49	21.06	41.75	40.65	39.55	38.45	37.70	36.95		
2023-09-18T11:27:09	2022-10-24T15:20:23	EUR	V3397	3397	VINGA Vici uitschuifbare grillspies, bruin			CO2 Engraving 2	1	1	100	250	500	1000	1500	6.28	6.12	5.95	5.78	5.67	5.56	11.02	10.73	10.43	10.14	9.95	9.75		
2023-09-18T11:27:09	2022-10-24T15:20:44	EUR	V35301	35301	VINGA Paso bakspatel, bruin			Laser Engraving 2	1	1	100	250	500	1000	1500	4.83	4.70	4.58	4.45	4.36	4.28	8.48	8.25	8.03	7.80	7.65	7.50		
2023-09-18T11:27:09	2022-10-24T15:20:39	EUR	V35302	35302	VINGA Paso grilltang, bruin			CO2 Engraving 2	1	1	100	250	500	1000	1500	4.83	4.70	4.58	4.45	4.36	4.28	8.48	8.25	8.03	7.80	7.65	7.50		
2023-09-18T11:27:09	2023-08-31T06:51:47	EUR	V355	3551	VINGA Nomimono schaal  31 cm, wit				1	1	25	50	100	250	500	24.45	23.80	23.14	22.49	22.06	21.63	42.90	41.75	40.60	39.45	38.70	37.95		
2023-09-18T11:27:09	2023-08-31T06:51:51	EUR	V366	3553	VINGA Nomimono bord 26.5 cm, set van 2 stuks, wit				1	1	25	50	100	250	500	18.01	17.53	17.04	16.56	16.25	15.93	31.60	30.75	29.90	29.05	28.50	27.95		
2023-09-18T11:27:09	2023-08-31T06:51:50	EUR	V356	3569	VINGA Nomimono schaal 21 cm, wit			Pad Print	1	1	25	50	100	250	500	25.08	24.42	23.77	23.09	22.66	22.20	44.00	42.85	41.70	40.50	39.75	38.95		
2023-09-18T11:27:09	2023-08-31T06:51:53	EUR	V3572	3572	VINGA Nomimono tapas set, wit			CO2 Engraving 3,CO2 Engraving 2,Pad Print	1	1	25	50	100	250	500	15.93	15.53	15.11	14.68	14.39	14.11	27.95	27.25	26.50	25.75	25.25	24.75		
2023-09-18T11:27:09	2023-08-31T06:51:47	EUR	V355	3661	VINGA Nomimono schaal  31 cm, zwart				1	1	25	50	100	250	500	24.45	23.80	23.14	22.49	22.06	21.63	42.90	41.75	40.60	39.45	38.70	37.95		
2023-09-18T11:27:09	2023-08-31T06:51:51	EUR	V366	3663	VINGA Nomimono bord 26.5 cm, set van 2 stuks, zwart				1	1	25	50	100	250	500	18.01	17.53	17.04	16.56	16.25	15.93	31.60	30.75	29.90	29.05	28.50	27.95		
2023-09-18T11:27:09	2023-08-31T06:51:50	EUR	V3669	3669	VINGA Nomimono serveerset, zwart				1	1	25	50	100	250	500	19.29	18.78	18.27	17.76	17.41	17.07	33.85	32.95	32.05	31.15	30.55	29.95		
2023-09-18T11:27:09	2023-08-31T06:51:49	EUR	V356	3679	VINGA Nomimono schaal 21 cm, zwart				1	1	25	50	100	250	500	25.08	24.42	23.77	23.09	22.66	22.20	44.00	42.85	41.70	40.50	39.75	38.95		
2023-09-18T11:27:09	2023-08-31T06:51:52	EUR	V357	3686	VINGA Nomimono bord 20 cm, set van 2 stuks, zwart				1	1	25	50	100	250	500	14.14	13.77	13.40	13.02	12.77	12.51	24.80	24.15	23.50	22.85	22.40	21.95		
2023-09-18T11:27:09	2023-08-31T06:51:54	EUR	V368	3689	VINGA Nomimono kleine schaaltjes, set van 4 stuks, zwart			Pad Print Drinkware	1	1	25	50	100	250	500	11.57	11.26	10.94	10.63	10.43	10.23	20.30	19.75	19.20	18.65	18.30	17.95		
2023-09-18T11:27:09	2023-08-31T06:51:53	EUR	V367	3691	VINGA Nomimono schaal 15.5 cm, set van 2 stuks, zwart				1	1	25	50	100	250	500	12.85	12.51	12.17	11.83	11.60	11.37	22.55	21.95	21.35	20.75	20.35	19.95		
2023-09-18T11:27:09	2023-08-31T06:51:45	EUR	V369	3694	VINGA Nomimono diepe schaal 30 cm, zwart				1	1	25	50	100	250	500	25.74	25.05	24.37	23.68	23.23	22.77	45.15	43.95	42.75	41.55	40.75	39.95		
